一	y ī
万般	w àn b ān
万花筒	w àn h uā t ǒng
万苦千辛	w àn k ǔ q iān x īn
万语千言	w àn y ǔ q iān y án
万象	w àn x iàng
万象更新	w àn x iàng g ēng x īn
万象森罗	w àn x iàng s ēn l uó
万贯	w àn g uàn
万贯家私	w àn g uàn j iā s ī
万贯家财	w àn g uàn j iā c ái
万赖俱寂	w àn l ài j ù j ì
万赖无声	w àn l ài w ú sh ēng
万载千秋	w àn z ài q iān q iū
万选青钱	w àn x uǎn q īng q ián
万里无云	w àn l ǐ w ú y ún
万里迢迢	w àn l ǐ t iáo t iáo
万里长城	w àn l ǐ ch áng ch éng
万里长征	w àn l ǐ ch áng zh ēng
万里鹏程	w àn l ǐ p éng ch éng
万里鹏翼	w àn l ǐ p éng y ì
万金	w àn j īn
万金油	w àn j īn y óu
万难	w àn n án
万顷	w àn q ǐng
万马奔腾	w àn m ǎ b ēn t éng
万马齐喑	w àn m ǎ q í y īn
丈	zh àng
丈二和尚	zh àng èr h é sh àng
丈八蛇矛	zh àng b ā sh é m áo
丈夫	zh àng f ū
丈量	zh àng l iáng
三	s ān
三不拗六	s ān b ù n iù l iù
三不知	s ān b ù zh ī
三不管	s ān b ù g uǎn
三个世界	s ān g è sh ì j iè
三个面向	s ān g è m iàn x iàng
三产	s ān ch ǎn
三亲六故	s ān q īn l iù g ù
三亲六眷	s ān q īn l iù j uàn
三亲四眷	s ān q īn s ì j uàn
三人为众	s ān r én w èi zh òng
三从四德	s ān c óng s ì d é
三令五申	s ān l ìng w ǔ sh ēn
三位一体	s ān w èi y ī t ǐ
三余读书	s ān y ú d ú sh ū
三八作风	s ān b ā z uò f ēng
三八妇女节	s ān b ā f ù n ǚ j ié
三八节	s ān b ā j ié
三六九等	s ān l iù j iǔ d ěng
三分	s ān f ēn
三分鼎立	s ān f ēn d ǐng l ì
三分鼎足	s ān f ēn d ǐng z ú
三副	s ān f ù
三北	s ān b ěi
三十儿	s ān sh í er
三十六	s ān sh í l iù
三十六策	s ān sh í l iù c è
三十六行	s ān sh í l iù h áng
三十六计	s ān sh í l iù j ì
三占从二	s ān zh ān c óng èr
三叉戟	s ān ch ā j ǐ
三句不离本行	s ān j ù b ù l í b ěn h áng
三句话不离本行	s ān j ù h uà b ù l í b ěn h áng
三只手	s ān zh ī sh ǒu
三台	s ān t ái
三台八座	s ān t ái b ā z uò
三叶虫	s ān y è ch óng
三号	s ān h ào
三合	s ān h é
三合会	s ān h é h uì
三合土	s ān h é t ǔ
三合房	s ān h é f áng
三合板	s ān h é b ǎn
三吐三握	s ān t ǔ s ān w ò
三回九转	s ān h uí j iǔ zh uǎn
三大作风	s ān d à z uò f ēng
三大差别	s ān d à ch ā b ié
三大战役	s ān d à zh àn y ì
三大政策	s ān d à zh èng c è
三大法宝	s ān d à f ǎ b ǎo
三天两头	s ān t iān l iǎng t óu
三天两宿	s ān t iān l iǎng x iǔ
三夫之对	s ān f ū zh ī d uì
三夫之言	s ān f ū zh ī y án
三夫成市虎	s ān f ū ch éng sh ì h ǔ
三头两日	s ān t óu l iǎng r ì
三头两绪	s ān t óu l iǎng x ù
三头两面	s ān t óu l iǎng m iàn
三头八臂	s ān t óu b ā b ì
三头六臂	s ān t óu l iù b ì
三头六证	s ān t óu l iù zh èng
三头六面	s ān t óu l iù m iàn
三头对案	s ān t óu d uì àn
三好	s ān h ǎo
三好两歉	s ān h ǎo l iǎng q iàn
三好两歹	s ān h ǎo l iǎng d ǎi
三好二怯	s ān h ǎo èr q iè
三好生	s ān h ǎo sh ēng
三妻四妾	s ān q ī s ì q iè
三姑六婆	s ān g ū l iù p ó
三媒六证	s ān m éi l iù zh èng
三宫六院	s ān g ōng l iù y uàn
三家村	s ān j iā c ūn
三寸不烂之舌	s ān c ùn b ù l àn zh ī sh é
三对六面	s ān d uì l iù m iàn
三尸暴跳	s ān sh ī b ào t iào
三岔路口	s ān ch à l ù k ǒu
三差两错	s ān ch ā l iǎng c uò
三差五错	s ān ch ā w ǔ c uò
三年五载	s ān n ián w ǔ z ǎi
三年化碧	s ān n ián h uà b ì
三度	s ān d ù
三座大山	s ān z uò d à sh ān
三徙成都	s ān x ǐ ch éng d ōu
三思	s ān s ī
三思而后行	s ān s ī ér h òu x íng
三思而行	s ān s ī ér x íng
三战三北	s ān zh àn s ān b ěi
三户亡秦	s ān h ù w áng q ín
三折肱	s ān zh é g ōng
三折肱为良医	s ān zh é g ōng w éi l iáng y ī
三拳不敌四手	s ān q uán b ù d í s ì sh ǒu
三推六问	s ān t uī l iù w èn
三教	s ān j iào
三教九流	s ān j iào j iǔ l iú
三旨相公	s ān zh ǐ x iàng g ōng
三旬九食	s ān x ún j iǔ sh í
三更	s ān g ēng
三更半夜	s ān g ēng b àn y è
三月三	s ān y uè s ān
三月不知肉味	s ān y uè b ù zh ī r òu w èi
三朝五日	s ān ch áo w ǔ r ì
三朝元老	s ān ch áo y uán l ǎo
三期贤佞	s ān q ī x ián n ìng
三权分立	s ān q uán f ēn l ì
三杯通大道	s ān b ēi t ōng d à d ào
三棱镜	s ān l éng j ìng
三榜定案	s ān b ǎng d ìng àn
三江七泽	s ān j iāng q ī z é
三汤两割	s ān t āng l iǎng g ē
三汤五割	s ān t āng w ǔ g ē
三沐三熏	s ān m ù s ān x ūn
三灾八难	s ān z āi b ā n àn
三灾六难	s ān z āi l iù n án
三点式	s ān d iǎn sh ì
三熏三沐	s ān x ūn s ān m ù
三班倒	s ān b ān d ǎo
三班六房	s ān b ān l iù f áng
三瓦两巷	s ān w ǎ l iǎng x iàng
三瓦两舍	s ān w ǎ l iǎng sh ě
三生有幸	s ān sh ēng y ǒu x ìng
三番两次	s ān f ān l iǎng c ì
三番五次	s ān f ān w ǔ c ì
三百六十行	s ān b ǎi l iù sh í h áng
三相	s ān x iāng
三省吾身	s ān x ǐng w ú sh ēn
三级跳远	s ān j í t iào y uǎn
三结合	s ān j ié h é
三缄其口	s ān j iān q í k ǒu
三老五更	s ān l ǎo w ǔ g ēng
三老四少	s ān l ǎo s ì sh ào
三联单	s ān l ián d ān
三脚猫	s ān j iǎo m āo
三臡八菹	s ān n í b ā z ū
三色堇	s ān s è j ǐn
三节	s ān j ié
三节两寿	s ān j ié l iǎng sh òu
三茶六礼	s ān ch á l iù l ǐ
三茶六饭	s ān ch á l iù f àn
三藏	s ān z àng
三蛇七鼠	s ān sh é q ī sh ǔ
三行	s ān x íng
三街六巷	s ān j iē l iù x iàng
三街六市	s ān j iē l iù sh ì
三角	s ān j iǎo
三角债	s ān j iǎo zh ài
三角函数	s ān j iǎo h án sh ù
三角学	s ān j iǎo x ué
三角形	s ān j iǎo x íng
三角恋爱	s ān j iǎo l iàn ài
三角板	s ān j iǎo b ǎn
三角洲	s ān j iǎo zh ōu
三角裤衩	s ān j iǎo k ù ch ǎ
三角铁	s ān j iǎo t iě
三言两句	s ān y án l iǎng j ù
三言两语	s ān y án l iǎng y ǔ
三轮儿	s ān l ún er
三轮车	s ān l ún ch ē
三迁之教	s ān q iān zh ī j iào
三过其门而不入	s ān g uò q í m én ér b ù r ù
三连冠	s ān l ián g uàn
三部曲	s ān b ù q ǔ
三重	s ān ch óng
三重唱	s ān ch óng ch àng
三长两短	s ān ch áng l iǎng d uǎn
三长四短	s ān ch áng s ì d uǎn
三陪	s ān p éi
三面红旗	s ān m iàn h óng q í
三风十愆	s ān f ēng sh í q iān
三餐	s ān c ān
三首六臂	s ān sh ǒu l iù b ì
三马同槽	s ān m ǎ t óng c áo
三鲜	s ān x iān
上	sh àng
上上	sh àng sh àng
上上下下	sh àng sh àng x ià x ià
上下	sh àng x ià
上下一心	sh àng x ià y ī x īn
上下交困	sh àng x ià j iāo k ùn
上下其手	sh àng x ià q í sh ǒu
上下同心	sh àng x ià t óng x īn
上下同欲	sh àng x ià t óng y ù
上下同门	sh àng x ià t óng m én
上下床	sh àng x ià ch uáng
上下文	sh àng x ià w én
上下水	sh àng x ià sh uǐ
上下级	sh àng x ià j í
上不去	sh àng b ù q ù
上世	sh àng sh ì
上中农	sh àng zh ōng n óng
上举	sh àng j ǔ
上乘	sh àng ch éng
上书	sh àng sh ū
上交	sh àng j iāo
上交不谄	sh àng j iāo b ù ch ǎn
上京	sh àng j īng
上人	sh àng r én
上代	sh àng d ài
上任	sh àng r èn
上位	sh àng w èi
上体	sh àng t ǐ
上供	sh àng g òng
上元	sh àng y uán
上元节	sh àng y uán j ié
上光	sh àng g uāng
上兵	sh àng b īng
上兵伐谋	sh àng b īng f á m óu
上冻	sh àng d òng
上刑	sh àng x íng
上列	sh àng l iè
上劲	sh àng j ìn
上勤下顺	sh àng q ín x ià sh ùn
上医医国	sh àng y ī y ī g uó
上千	sh àng q iān
上升	sh àng sh ēng
上午	sh àng w ǔ
上半夜	sh àng b àn y è
上半天	sh àng b àn t iān
上半时	sh àng b àn sh í
上半晌	sh àng b àn sh ǎng
上半月	sh àng b àn y uè
上半身	sh àng b àn sh ēn
上南落北	sh àng n án l uò b ěi
上卷	sh àng j uàn
上去	sh àng q ù
上口	sh àng k ǒu
上古	sh àng g ǔ
上台	sh àng t ái
上叶	sh àng y è
上司	sh àng s ī
上吊	sh àng d iào
上吐下泻	sh àng t ù x ià x iè
上告	sh àng g ào
上呼吸道	sh àng h ū x ī d ào
上和下睦	sh àng h é x ià m ù
上品	sh àng p ǐn
上唇	sh àng ch ún
上回	sh àng h uí
上场	sh àng ch ǎng
上场门	sh àng ch ǎng m én
上坟	sh àng f én
上坡	sh àng p ō
上坡路	sh àng p ō l ù
上堂	sh àng t áng
上士	sh àng sh ì
上声	sh ǎng sh ēng
上夜	sh àng y è
上天	sh àng t iān
上天入地	sh àng t iān r ù d ì
上头	sh àng t ou
上奏	sh àng z òu
上套	sh àng t ào
上好	sh àng h ǎo
上好下甚	sh àng h ǎo x ià sh èn
上嫚下暴	sh àng m àn x ià b ào
上学	sh àng x ué
上官	sh àng g uān
上客	sh àng k è
上家	sh àng j iā
上宾	sh àng b īn
上寿	sh àng sh òu
上将	sh àng j iàng
上尉	sh àng w èi
上层	sh àng c éng
上层建筑	sh àng c éng j iàn zh ù
上层社会	sh àng c éng sh è h uì
上届	sh àng j iè
上山	sh àng sh ān
上山下乡	sh àng sh ān x ià x iāng
上岁数	sh àng s uì sh ù
上岸	sh àng àn
上峰	sh àng f ēng
上工	sh àng g ōng
上市	sh àng sh ì
上市公司	sh àng sh ì g ōng s ī
上帝	sh àng d ì
上年	sh àng n ián
上年纪	sh àng n ián j ì
上床	sh àng ch uáng
上座	sh àng z uò
上座儿	sh àng z uò er
上座率	sh àng z uò l ǜ
上弦	sh àng x ián
上当	sh àng d àng
上当受骗	sh àng d àng sh òu p iàn
上当学乖	sh àng d àng x ué g uāi
上心	sh àng x īn
上情	sh àng q íng
上情下达	sh àng q íng x ià d á
上感	sh àng g ǎn
上慢下暴	sh àng m àn x ià b ào
上房	sh àng f áng
上手	sh àng sh ǒu
上报	sh àng b ào
上推下卸	sh àng t uī x ià x iè
上援下推	sh àng y uán x ià t uī
上操	sh àng c āo
上文	sh àng w én
上方	sh àng f āng
上方剑	sh àng f āng j iàn
上方宝剑	sh àng f āng b ǎo j iàn
上旬	sh àng x ún
上映	sh àng y ìng
上智下愚	sh àng zh ì x ià y ú
上替下陵	sh àng t ì x ià l íng
上月	sh àng y uè
上朝	sh àng ch áo
上机	sh àng j ī
上来	sh àng l ái
上林	sh àng l ín
上树拔梯	sh àng sh ù b á t ī
上校	sh àng x iào
上根大器	sh àng g ēn d à q ì
上档次	sh àng d àng c ì
上梁	sh àng l iáng
上梁不正下梁歪	sh àng l iáng b ù zh èng x ià l iáng w āi
上楼去梯	sh àng l óu q ù t ī
上次	sh àng c ì
上款	sh àng k uǎn
上气不接下气	sh àng q ì b ù j iē x ià q ì
上水	sh àng sh uǐ
上油	sh àng y óu
上流	sh àng l iú
上流社会	sh àng l iú sh è h uì
上浮	sh àng f ú
上海	sh àng h ǎi
上涨	sh àng zh ǎng
上游	sh àng y óu
上溢下漏	sh àng y ì x ià l òu
上溯	sh àng s ù
上漏下湿	sh àng l òu x ià sh ī
上演	sh àng y ǎn
上火	sh àng h uǒ
上烝下报	sh àng zh ēng x ià b ào
上焦	sh àng j iāo
上班	sh àng b ān
上界	sh àng j iè
上疏	sh àng sh ū
上瘾	sh àng y ǐn
上相	sh àng x iàng
上税	sh àng sh uì
上空	sh àng k ōng
上窜下跳	sh àng c uàn x ià t iào
上端	sh àng d uān
上竿掇梯	sh àng g ān d uō t ī
上等	sh àng d ěng
上等兵	sh àng d ěng b īng
上策	sh àng c è
上算	sh àng s uàn
上篇上论	sh àng p iān sh àng l ùn
上篮	sh àng l án
上簇	sh àng c ù
上粪	sh àng f èn
上紧	sh àng j ǐn
上级	sh àng j í
上纲	sh àng g āng
上纲上线	sh àng g āng sh àng x iàn
上缴	sh àng j iǎo
上联	sh àng l ián
上肢	sh àng zh ī
上肥	sh àng f éi
上脸	sh àng l iǎn
上膘	sh àng b iāo
上膛	sh àng t áng
上色	sh àng s è
上苍	sh àng c āng
上药	sh àng y ào
上菜	sh àng c ài
上蒸下报	sh àng zh ēng x ià b ào
上蜡	sh àng l à
上行	sh àng h áng
上行下效	sh àng x íng x ià x iào
上街	sh àng j iē
上衣	sh àng y ī
上装	sh àng zh uāng
上西天	sh àng x ī t iān
上计	sh àng j ì
上访	sh àng f ǎng
上诉	sh àng s ù
上课	sh àng k è
上调	sh àng d iào
上谄下渎	sh àng ch ǎn x ià d ú
上谕	sh àng y ù
上账	sh àng zh àng
上货	sh àng h uò
上路	sh àng l ù
上蹿下跳	sh àng c uān x ià t iào
上身	sh àng sh ēn
上车	sh àng ch ē
上轨道	sh àng g uǐ d ào
上辈	sh àng b èi
上辈子	sh àng b èi z i
上边	sh àng b iān
上达	sh àng d á
上进	sh àng j ìn
上进心	sh àng j ìn x īn
上述	sh àng sh ù
上选	sh àng x uǎn
上钩	sh àng g ōu
上铺	sh àng p ù
上锁	sh àng s uǒ
上门	sh àng m én
上闩	sh àng sh uān
上阵	sh àng zh èn
上限	sh àng x iàn
上院	sh àng y uàn
上陵下替	sh àng l íng x ià t ì
上集	sh àng j í
上雨旁风	sh àng y ǔ p áng f ēng
上面	sh àng m iàn
上鞋	sh àng x ié
上颚	sh àng è
上风	sh àng f ēng
上首	sh àng sh ǒu
上香	sh àng x iāng
上马	sh àng m ǎ
下	x ià
下不为例	x ià b ù w éi l ì
下不了台	x ià b ù l iǎo t ái
下不来	x ià b ù l ái
下不来台	x ià b ù l ái t ái
下中农	x ià zh ōng n óng
下乘	x ià sh èng
下井投石	x ià j ǐng t óu sh í
下令	x ià l ìng
下体	x ià t ǐ
下功夫	x ià g ōng f ū
下劲	x ià j ìn
下半场	x ià b àn ch ǎng
下半时	x ià b àn sh í
下半月	x ià b àn y uè
下卷	x ià j uàn
下发	x ià f ā
下台	x ià t ái
下同	x ià t óng
下咽	x ià y àn
下回分解	x ià h uí f ēn j iě
下地	x ià d ì
下场	x ià ch ǎng
下场门	x ià ch ǎng m én
下塌	x ià t ā
下塞上聋	x ià s āi sh àng l óng
下处	x ià ch ǔ
下大力气	x ià d à l ì q ì
下头	x ià t ou
下学上达	x ià x ué sh àng d á
下家	x ià j iā
下属	x ià sh ǔ
下工夫	x ià g ōng f ū
下巴颏	x ià b ā k ē
下帖	x ià t iě
下床	x ià ch uáng
下情上达	x ià q íng sh àng d á
下意识	x ià y ì sh í
下愚不移	x ià y ú b ù y í
下拨	x ià b ō
下毒	x ià d ú
下毛毛雨	x ià m áo m áo y ǔ
下泄	x ià x iè
下渗	x ià sh èn
下潜	x ià q ián
下狠心	x ià h ěn x īn
下眼皮	x ià y ǎn p í
下礼拜	x ià l ǐ b ài
下种	x ià zh ǒng
下笔有神	x ià b ǐ y ǒu sh én
下落	x ià l uò
下落不明	x ià l uò b ù m íng
下行	x ià x íng
下调	x ià t iáo
下车	x ià ch ē
下车之始	x ià ch ē zh ī sh ǐ
下车伊始	x ià ch ē y ī sh ǐ
下车作威	x ià ch ē z uò w ēi
下车泣罪	x ià ch ē q ì z uì
下辈子	x ià b èi z i
下述	x ià sh ù
下逐客令	x ià zh ú k è l ìng
下铺	x ià p ù
下降	x ià j iàng
下陵上替	x ià l íng sh àng t ì
下集	x ià j í
下雨	x ià y ǔ
下颌	x ià h é
下风	x ià f ēng
下马冯妇	x ià m ǎ f éng f ù
下马看花	x ià m ǎ k àn h uā
丌	j ī
不	b ù
不一	b ù y ī
不一会儿	b ù y ī h uì er
不一定	b ù y í d ìng
不一样	b ù y í y àng
不一而足	b ù y ī ér z ú
不三不四	b ù s ān b ù s ì
不上不下	b ù sh àng b ù x ià
不上不落	b ù sh àng b ù l uò
不下	b ù x ià
不下于	b ù x ià y ú
不世之业	b ù sh ì zh ī y è
不世之功	b ù sh ì zh ī g ōng
不中	b ù zh ōng
不中用	b ù zh ōng y òng
不丰不俭	b ù f ēng b ù j iǎn
不丰不杀	b ù f ēng b ù sh ā
不丹	b ù d ān
不为五斗米折腰	b ù w èi w ǔ d ǒu m ǐ zh é y āo
不为人知	b ù w éi r én zh ī
不为名不为利	b ù w éi m íng b ù w éi l ì
不为已甚	b ù w éi y ǐ sh èn
不为瓦全	b ù w éi w ǎ q uán
不主故常	b ù zh ǔ g ù ch áng
不久	b ù j iǔ
不义	b ú y ì
不义之财	b ù y ì zh ī c ái
不乏	b ù f á
不乏先例	b ù f á x iān l ì
不乏其人	b ù f á q í r én
不乏其例	b ù f á q í l ì
不习地土	b ù x í d ì t ǔ
不习水土	b ù x í sh uǐ t ǔ
不了	b ù l iǎo
不了不当	b ù l iǎo b ù d àng
不了了之	b ù l iǎo l iǎo zh ī
不了而了	b ù l iǎo ér l iǎo
不争	b ù zh ēng
不争气	b ù zh ēng q ì
不事边幅	b ù sh ì b iān f ú
不二	b ù èr
不二价	b ù èr j ià
不二法门	b ù èr f ǎ m én
不亢不卑	b ù k àng b ù b ēi
不亦	b ù y ì
不亦乐乎	b ù y ì l è h ū
不亦善夫	b ù y ì sh àn f ū
不亦说乎	b ù y ì y uè h ū
不人道	b ù r én d ào
不仁	b ù r én
不仅	b ù j ǐn
不今不古	b ù j īn b ù g ǔ
不介意	b ù j iè y ì
不以一眚掩大德	b ù y ǐ y ī sh ěng y ǎn d à d é
不以为奇	b ù y ǐ w éi q í
不以为意	b ù y ǐ w éi y ì
不以为然	b ù y ǐ w éi r án
不以为耻	b ù y ǐ w éi ch ǐ
不以人废言	b ù y ǐ r én f èi y án
不以语人	b ù y ǐ y ù r én
不以辞害志	b ù y ǐ c í h ài zh ì
不伏烧埋	b ù f ú sh āo m ái
不休	b ù x iū
不会	b ú h uì
不伤脾胃	b ù sh āng p í w èi
不伦不类	b ù l ún b ù l èi
不但	b ù d àn
不住	b ú zh ù
不作声	b ù z uò sh ēng
不佞	b ù n ìng
不佳	b ù j iā
不依	b ù y ī
不依不饶	b ù y ī b ù r áo
不便	b ù b iàn
不便水土	b ù b iàn sh uǐ t ǔ
不俗	b ù s ú
不信	b ù x ìn
不信邪	b ù x ìn x ié
不修	b ù x iū
不修小节	b ù x iū x iǎo j ié
不修边幅	b ù x iū b iān f ú
不倒翁	b ù d ǎo w ēng
不倦	b ù j uàn
不值	b ù zh í
不值一哂	b ù zh í y ī sh ěn
不值一提	b ù zh í y ī t í
不值一笑	b ù zh í y ī x iào
不值一钱	b ù zh í y ī q ián
不值一顾	b ù zh í y ī g ù
不值一驳	b ù zh í y ī b ó
不值识者一笑	b ù zh í sh í zh ě y í x iào
不假	b ù j iǎ
不假思索	b ù j iǎ s ī s uǒ
不偏不倚	b ù p iān b ù y ǐ
不偏不党	b ù p iān b ù d ǎng
不做不休	b ù z uò b ù x iū
不做声	b ù z uò sh ēng
不偢不倸	b ù ch ǒu b ù c ǎi
不像	b ù x iàng
不像话	b ù x iàng h uà
不僧不俗	b ù s ēng b ù s ú
不光	b ù g uāng
不克	b ù k è
不免	b ù m iǎn
不入时宜	b ù r ù sh í y í
不公	b ù g ōng
不共戴天	b ù g òng d ài t iān
不关	b ù g uān
不关痛痒	b ù g uān t òng y ǎng
不关紧要	b ù g uān j ǐn y ào
不兴	b ù x īng
不具	b ù j ù
不再	b ù z ài
不冷不热	b ù l ěng b ù r è
不冻港	b ù d òng g ǎng
不准	b ù zh ǔn
不凉不酸	b ù l iáng b ù s uān
不减	b ù j iǎn
不凡	b ù f án
不出所料	b ù ch ū s uǒ l iào
不分	b ù f ēn
不分伯仲	b ù f ēn b ó zh òng
不分彼此	b ù f ēn b ǐ c ǐ
